id,name,logo_path,parent_id,territory_id,official_name,code,gender,is_active,team_type
1,Abkhazia National Team,user://assets/textures/territory_logo/1.webp,,1,Republic of Abkhazia National Team,,0,1,1
2,Afghanistan National Team,user://assets/textures/territory_logo/2.webp,,2,Islamic Emirate of Afghanistan National Team,,0,1,1
3,Akrotiri and Dhekelia National Team,user://assets/textures/territory_logo/3.webp,,3,Sovereign Base Areas of Akrotiri and Dhekelia National Team,,0,1,1
4,Aland Islands National Team,user://assets/textures/territory_logo/4.webp,,4,Åland National Team,,0,1,1
5,Albania National Team,user://assets/textures/territory_logo/5.webp,,5,Republic of Albania National Team,,0,1,1
6,Algeria National Team,user://assets/textures/territory_logo/6.webp,,6,People's Democratic Republic of Algeria National Team,,0,1,1
7,American Samoa National Team,user://assets/textures/territory_logo/7.webp,,7,American Samoa National Team,,0,1,1
8,Andorra National Team,user://assets/textures/territory_logo/8.webp,,8,Principality of Andorra National Team,,0,1,1
9,Angola National Team,user://assets/textures/territory_logo/9.webp,,9,Republic of Angola National Team,,0,1,1
10,Anguilla National Team,user://assets/textures/territory_logo/10.webp,,10,Anguilla National Team,,0,1,1
11,Antigua and Barbuda National Team,user://assets/textures/territory_logo/11.webp,,11,Antigua and Barbuda National Team,,0,1,1
12,Argentina National Team,user://assets/textures/territory_logo/12.webp,,12,Argentine Republic National Team,,0,1,1
13,Armenia National Team,user://assets/textures/territory_logo/13.webp,,13,Republic of Armenia National Team,,0,1,1
14,Aruba National Team,user://assets/textures/territory_logo/14.webp,,14,Country of Aruba National Team,,0,1,1
15,Ascension Island National Team,user://assets/textures/territory_logo/15.webp,,15,Ascension Island National Team,,0,1,1
16,Australia National Team,user://assets/textures/territory_logo/16.webp,,16,Commonwealth of Australia National Team,,0,1,1
17,Austria National Team,user://assets/textures/territory_logo/17.webp,,17,Republic of Austria National Team,,0,1,1
18,Azerbaijan National Team,user://assets/textures/territory_logo/18.webp,,18,Republic of Azerbaijan National Team,,0,1,1
19,Bahamas National Team,user://assets/textures/territory_logo/19.webp,,19,Commonwealth of the Bahamas National Team,,0,1,1
20,Bahrain National Team,user://assets/textures/territory_logo/20.webp,,20,Kingdom of Bahrain National Team,,0,1,1
21,Bangladesh National Team,user://assets/textures/territory_logo/21.webp,,21,People's Republic of Bangladesh National Team,,0,1,1
22,Barbados National Team,user://assets/textures/territory_logo/22.webp,,22,Barbados National Team,,0,1,1
23,Belarus National Team,user://assets/textures/territory_logo/23.webp,,23,Republic of Belarus National Team,,0,1,1
24,Belgium National Team,user://assets/textures/territory_logo/24.webp,,24,Kingdom of Belgium National Team,,0,1,1
25,Belize National Team,user://assets/textures/territory_logo/25.webp,,25,Belize National Team,,0,1,1
26,Benin National Team,user://assets/textures/territory_logo/26.webp,,26,Republic of Benin National Team,,0,1,1
27,Bermuda National Team,user://assets/textures/territory_logo/27.webp,,27,Bermuda National Team,,0,1,1
28,Bhutan National Team,user://assets/textures/territory_logo/28.webp,,28,Kingdom of Bhutan National Team,,0,1,1
29,Bolivia National Team,user://assets/textures/territory_logo/29.webp,,29,Plurinational State of Bolivia National Team,,0,1,1
30,Bonaire National Team,user://assets/textures/territory_logo/30.webp,,30,Bonaire National Team,,0,1,1
31,Bosnia and Herzegovina National Team,user://assets/textures/territory_logo/31.webp,,31,Bosnia and Herzegovina National Team,,0,1,1
32,Botswana National Team,user://assets/textures/territory_logo/32.webp,,32,Republic of Botswana National Team,,0,1,1
33,Brazil National Team,user://assets/textures/territory_logo/33.webp,,33,Federative Republic of Brazil National Team,,0,1,1
34,British Virgin Islands National Team,user://assets/textures/territory_logo/34.webp,,34,Virgin Islands National Team,,0,1,1
35,Brunei National Team,user://assets/textures/territory_logo/35.webp,,35,Brunei Darussalam National Team,,0,1,1
36,Bulgaria National Team,user://assets/textures/territory_logo/36.webp,,36,Republic of Bulgaria National Team,,0,1,1
37,Burkina Faso National Team,user://assets/textures/territory_logo/37.webp,,37,Burkina Faso National Team,,0,1,1
38,Burundi National Team,user://assets/textures/territory_logo/38.webp,,38,Republic of Burundi National Team,,0,1,1
39,Cambodia National Team,user://assets/textures/territory_logo/39.webp,,39,Kingdom of Cambodia National Team,,0,1,1
40,Cameroon National Team,user://assets/textures/territory_logo/40.webp,,40,Republic of Cameroon National Team,,0,1,1
41,Canada National Team,user://assets/textures/territory_logo/41.webp,,41,Canada National Team,,0,1,1
42,Cape Verde National Team,user://assets/textures/territory_logo/42.webp,,42,Republic of Cabo Verde National Team,,0,1,1
43,Cayman Islands National Team,user://assets/textures/territory_logo/43.webp,,43,Cayman Islands National Team,,0,1,1
44,Central African Republic National Team,user://assets/textures/territory_logo/44.webp,,44,Central African Republic National Team,,0,1,1
45,Chad National Team,user://assets/textures/territory_logo/45.webp,,45,Republic of Chad National Team,,0,1,1
46,Chile National Team,user://assets/textures/territory_logo/46.webp,,46,Republic of Chile National Team,,0,1,1
47,China National Team,user://assets/textures/territory_logo/47.webp,,47,People's Republic of China National Team,,0,1,1
48,Christmas Island National Team,user://assets/textures/territory_logo/48.webp,,48,Territory of Christmas Island National Team,,0,1,1
49,Cocos Islands National Team,user://assets/textures/territory_logo/49.webp,,49,Territory of Cocos (Keeling) Islands National Team,,0,1,1
50,Colombia National Team,user://assets/textures/territory_logo/50.webp,,50,Republic of Colombia National Team,,0,1,1
51,Comoros National Team,user://assets/textures/territory_logo/51.webp,,51,Union of the Comoros National Team,,0,1,1
52,Congo National Team,user://assets/textures/territory_logo/52.webp,,52,Republic of the Congo National Team,,0,1,1
53,Cook Islands National Team,user://assets/textures/territory_logo/53.webp,,53,Cook Islands National Team,,0,1,1
54,Costa Rica National Team,user://assets/textures/territory_logo/54.webp,,54,Republic of Costa Rica National Team,,0,1,1
55,Croatia National Team,user://assets/textures/territory_logo/55.webp,,55,Republic of Croatia National Team,,0,1,1
56,Cuba National Team,user://assets/textures/territory_logo/56.webp,,56,Republic of Cuba National Team,,0,1,1
57,Curaçao National Team,user://assets/textures/territory_logo/57.webp,,57,Country of Curaçao National Team,,0,1,1
58,Cyprus National Team,user://assets/textures/territory_logo/58.webp,,58,Republic of Cyprus National Team,,0,1,1
59,Czechia National Team,user://assets/textures/territory_logo/59.webp,,59,Czech Republic National Team,,0,1,1
60,Denmark National Team,user://assets/textures/territory_logo/60.webp,,60,Kingdom of Denmark National Team,,0,1,1
61,Djibouti National Team,user://assets/textures/territory_logo/61.webp,,61,Republic of Djibouti National Team,,0,1,1
62,Dominica National Team,user://assets/textures/territory_logo/62.webp,,62,Commonwealth of Dominica National Team,,0,1,1
63,Dominican Republic National Team,user://assets/textures/territory_logo/63.webp,,63,Dominican Republic National Team,,0,1,1
64,DR Congo National Team,user://assets/textures/territory_logo/64.webp,,64,Democratic Republic of the Congo National Team,,0,1,1
65,Timor-Leste National Team,user://assets/textures/territory_logo/65.webp,,65,Democratic Republic of Timor-Leste National Team,,0,1,1
66,Easter Island National Team,user://assets/textures/territory_logo/66.webp,,66,Easter Island National Team,,0,1,1
67,Ecuador National Team,user://assets/textures/territory_logo/67.webp,,67,Republic of Ecuador National Team,,0,1,1
68,Egypt National Team,user://assets/textures/territory_logo/68.webp,,68,Arab Republic of Egypt National Team,,0,1,1
69,El Salvador National Team,user://assets/textures/territory_logo/69.webp,,69,Republic of El Salvador National Team,,0,1,1
